List of GSM companies w.e.f 06.06.2019,,
Sr. No.,Security Name,ISIN
487,Orosil Smiths India Ltd,INE628B01034
488,Oscar Investments Ltd,INE221D01018
489,Deltron Ltd,INE272R01011
490,Oswal Overseas Ltd,INE906K01019
491,Oswal Yarns Ltd,INE670H01017
492,OTCO International Ltd,INE910B01028
493,Oxford Industries Ltd,INE114D01015
494,Ozone World Ltd,INE583K01016
495,Pact Industries Ltd,INE494K01024
496,Padam Cotton Yarns Ltd,INE448D01017
497,Palco Metals Ltd,INE239L01013
498,Palsoft Infosystems Ltd,INE969B01016
499,Pan Electronics India Ltd,INE648E01010
500,Panafic Industrials Ltd,INE655P01029
501,Pankaj Polymers Ltd,INE698B01011
502,Panyam Cements & Mineral Industries Ltd,INE167E01029
503,Paos Industries Ltd,INE791C01012
504,Parabolic Drugs Ltd,INE618H01016
505,Paras Petrofils Ltd,INE162C01024
506,Pariksha Fin- Invest- Lease Ltd,INE270F01010
507,Parker Agrochem Exports Ltd,INE750B01010
508,Parmax Pharma Ltd,INE240T01014
509,QGO Finance Ltd,INE837C01013
510,Parsharti Investment Ltd,INE290E01011
511,Parth Industries Ltd,INE218T01010
512,Pasupati Fincap Ltd,INE527C01010
513,Pawansut Holdings Ltd,INE260M01017
514,Pazel International Ltd,INE040N01029
515,Pennar Aluminium Company Ltd,INE057C01018
516,Petron Engineering Construction Ltd,INE742A01019
517,PH Capital Ltd,INE160F01013
518,PH Trading Ltd,INE603D01017
519,Pharmaids Pharmaceuticals Ltd,INE117D01018
520,Photoquip India Ltd,INE813B01016
521,Phyto Chem India Ltd,INE037C01010
522,Pincon Lifestyle Ltd,INE115R01012
523,Piramal Phytocare Ltd,INE122J01015
524,Pithampur Poly Products Ltd,INE747D01012
525,Planters Polysacks Ltd,INE293E01023
526,Polytex India Ltd,INE012F01016
527,Prabhav Industries Ltd,INE538J01012
528,Pradip Overseas Ltd,INE495J01015
529,Pratik Panels Ltd,INE206C01011
530,Gaekwar Mills Ltd,INE837X01027
531,Premier Ltd,INE342A01018
532,Prime Industries Ltd,INE543F01010
533,Prism Finance Ltd,INE429Q01019
534,Prism Medico and Pharmacy Ltd,INE730E01016
535,Procal Electronics India Ltd,INE700B01015
536,Progressive Extractions & Exports Ltd,INE421E01012
537,Provogue (India) Ltd,INE968G01033
538,Mayur Floorings Ltd,INE262W01012
539,Punit Commercials Ltd,INE750G01019
540,Quantum Build-Tech Ltd,INE222B01028
541,Quasar India Ltd,INE855P01033
542,Quest Softech (India) Ltd,INE989J01017
543,Quintegra Solutions Ltd,INE033B01011
544,Raaj Medisafe India Ltd,INE548H01015
545,Raghunath International Ltd,INE753B01014
546,Rahul Merchandising Ltd,INE149D01011
547,Rainbow Foundations Ltd,INE230F01014
548,Rainbow Papers Ltd,INE028D01025
549,Raj Rayon Industries Ltd,INE533D01024
550,Rajasthan Gases Ltd,INE184D01018
551,Rajasthan Petro Synthetics Ltd,INE374C01017
552,Rajath Finance Ltd,INE455H01013
553,Rajeswari Infrastructure Ltd,INE016C01014
554,Rajkamal Synthetics Ltd,INE376L01013
555,Rajputana Investment and Finance Ltd,INE751R01014
556,Rajsanket Realty Ltd,INE314F01016
557,Rajvir Industries Ltd,INE011H01014
558,Ramsarup Industries Ltd,INE005D01015
559,Rander Corporation Ltd,INE821D01031
560,Rasoya Proteins Ltd,INE904G01038
561,Ratnamani Agro Industries Ltd,INE679N01016
562,Raymed Labs Ltd,INE741C01017
563,RB Gupta Financials Ltd,INE056J01015
564,RCC Cements Ltd,INE335N01015
565,Real News & Views Ltd,INE055E01026
566,Redex Protech Ltd,INE823D01011
567,Regal Entertainment & Consultants Ltd,INE101E01010
568,Regaliaa Realty Ltd,INE098H01011
569,Regency Trust Ltd,INE425F01028
570,Rekvina Laboratories Ltd,INE092O01028
571,Response Informatics Ltd,INE401B01010
572,Resurgere Mines & Minerals India Ltd,INE774I01031
573,Retro Green Revolution Ltd,INE601N01010
574,Richa Industries Ltd,INE516H01012
575,Richirich Inventures Ltd,INE102C01020
576,Riga Sugar Company Ltd,INE909C01010
577,Rishab Special Yarns Ltd,NA
578,Rohit Ferro-Tech Ltd,INE248H01012
579,Roselabs Finance Ltd,INE475C01012
580,Rotographics (India) Ltd,INE364S01014
581,Roxy Exports Ltd,INE549S01010
582,Royal Cushion Vinyl Products Ltd,INE618A01011
583,RSC International Ltd,INE015F01019
584,RT Exports Ltd,INE581D01015
585,Rubra Medicaments Ltd,INE396H01019
586,Ruchika Industries India Ltd,INE185U01027
587,S Kumars.Com Ltd,INE827A01018
588,S T Services Ltd,INE907D01012
589,SAB Events & Governance Now Media Ltd,INE860T01019
590,Sabrimala Industries India Ltd,INE400R01018
591,Sadbhav Infrastructure Project Ltd,INE764L01010
592,Safal Herbs Ltd,INE880M01020
593,Safal Securities Ltd,INE101L01031
594,Sagar Productions Ltd,INE807D01030
595,Oswal Leasing Ltd,INE811Q01018
596,Prem Somani Financial Services Ltd,INE035401012
597,Sagar Tourist Resorts Ltd,INE01M801019
598,Sai Industries Ltd,NA
599,Sai Moh Auto Links Ltd,INE345U01019
600,Samtel India Ltd,INE538C01017
601,Samtex Fashions Ltd,INE931D01020
602,Sanathnagar Enterprises Ltd,INE367E01033
603,Sang Froid Labs (India) Ltd,INE345S01013
604,Sangam Renewables Ltd,INE299N01013
605,Sanghi Corporate Services Ltd,INE998M01012
